first_name,last_name,date_of_birth,gender,phone_number,email,course_name,blood_group,cgpa
Matthew,Cross,1968-06-16,Female,0508626979,matthew.cross16@gmail.com,QA,AB-,7.36
,Hernandez,1982-02-13,Male,3105326795,christopher.hernandez13@gmail.com,Marketing,O+,5.73
Julia,Robinson,1969-01-03,Female,6861374105,julia.robinson03@gmail.com,Cloud,AB+,6.9
Jessica,Brewer,2008-03-26,Male,0832683204,jessica.brewer26@gmail.com,QA,A+,8.18
Katherine,Hodges,1995-04-11,Male,5050528761,katherine.hodges11@gmail.com,HR,O+,5.63
Sarah,James,1992-05-24,Male,6472986328,sarah.james24@gmail.com,IT,A+,9.81
Harold,Mcdaniel,1988-12-06,Male,9340305528,harold.mcdaniel06@gmail.com,Marketing,AB+,9.15
Andre,Murray,1965-10-24,Male,6447105754,Murray@gmailcomcom,QA,A+,9.76
Joshua,White,2000-03-01,Female,2908746780,joshua.white01@gmail.com,Cloud,A+,9.65
Stephanie,Baker,2002-08-03,Female,4506137435,stephanie.baker03@gmail.com,AI,O+,8.12
Savannah,Booker,1986-08-29,Female,6712268435,savannah.booker29@gmail.com,AI,A-,7.97
Norman,Alvarado,1995-04-19,Female,1693458053,norman.alvarado19@gmail.com,Marketing,O-,8.01
Steven,Rodriguez,1997-02-12,Male,8932076167,steven.rodriguez12@gmail.com,IT,O-,8.75
Peter,Adams,2003-05-04,Male,9891990249,peter.adams04@gmail.com,IT,AB-,10.22
Julie,Holland,1987-03-28,Female,9771523012,julie.holland28@gmail.com,QA,B+,6.22
Cindy,Kennedy,1988-07-21,Male,1596185225,cindy.kennedy21@gmail.com,Cloud,A+,9.21
Robin,Stanton,1974-09-25,Male,1196617981,robin.stanton25@gmail.com,AI,AB-,8.19
Jason,Bautista,1990-01-05,Female,5283238771,jason.bautista05@gmail.com,HR,B-,6.5
Marie,Graves,1977-09-19,Male,7656083998,marie.graves19@gmail.com,QA,O-,9.93
Jennifer,Davis,2005-04-20,Female,8610102186,jennifer.davis20@gmail.com,QA,AB-,8.13
Amanda,Williams,1971-04-22,Female,8273161305,Williams@gmail,Cloud,B+,9.45
Jennifer,Martinez,1992-09-21,Male,1163278813,jennifer.martinez21@gmail.com,HR,B-,8.64
Andrew,Hughes,1995-12-26,Male,9515757797,andrew.hughes26@gmail.com,HR,AB-,0.7
Alicia,Brown,2005-04-30,Female,3808203283,alicia.brown30@gmail.com,Cloud,A-,6.31
Theresa,Willis,2000-08-03,Male,3923117191,theresa.willis03@gmail.com,Marketing,AB+,7.29
