first_name,last_name,date_of_birth,gender,phone_number,email,course_name,blood_group,cgpa
Phillip,Evans,2007-07-28,Female,5706851987,phillip.evans28@gmail.com,QA,A-,8.99
Brianna,Smith,1990-04-24,Female,2931699078,brianna.smith24@gmail.com,QA,O+,9.2
Michael,Garcia,1979-07-06,Female,7089488121,michael.garcia06@gmail.com,Marketing,AB-,6.52
Sonia,King,2003-11-28,Female,5268291527,King@gmail.,Cloud,AB-,10.0
Mary,Richards,2004-06-18,Female,6529177679,mary.richards18@gmail.com,HR,B-,6.51
Teresa,Smith,1969-04-12,Male,5938368653,teresa.smith12@gmail.com,Marketing,A-,5.55
Mary,Jenkins,1993-10-17,Female,1537982261,mary.jenkins17@gmail.com,Marketing,AB-,7.94
Alexis,Lamb,1982-08-12,Female,8741417452,alexis.lamb12@gmail.com,IT,AB-,6.91
Marcia,Moore,1976-05-19,Female,8998551764,marcia.moore19@gmail.com,QA,A-,9.75
Benjamin,Williams,1991-09-30,Male,9841103704,benjamin.williams30@gmail.com,QA,B-,6.0
Edward,Russo,1981-07-14,Female,8070148030,Edwardmail,IT,AB+,7.3
Harold,Wheeler,1996-09-30,Male,2314654149,harold.wheeler30@gmail.com,Cloud,A-,9.21
Amanda,Williams,2029-02-08,Female,7438236407,amanda.williams21@gmail.com,Cloud,O-,6.39
Kelly,Hernandez,1988-10-13,Male,0108938712,kelly.hernandez13@gmail.com,QA,AB-,6.48
Kyle,Gallagher,1998-10-15,Male,8406530037,kyle.gallagher15@gmail.com,Cloud,B-,6.47
Crystal,Young,1971-05-19,Male,2314378060,Crystalyahoo,HR,O-,7.02
,Spencer,1999-02-19,Male,1598011393,ashley.spencer19@gmail.com,IT,A+,6.72
Whitney,Hunter,1984-09-13,Female,4481866130,whitney.hunter13@gmail.com,HR,B+,5.82
Anthony,White,1991-01-16,Female,0857306432,anthony.white16@gmail.com,AI,A-,9.59
Kevin,Hernandez,2007-06-16,Female,5590007259,kevin.hernandez16@gmail.com,IT,O-,5.44
Faith,Jenkins,1992-11-20,Male,0493014288,faith.jenkins20@gmail.com,AI,AB-,7.63
Kara,Bray,1969-11-05,Female,1637528441,kara.bray05@gmail.com,Marketing,B-,5.72
Christian,Farrell,2002-10-22,Female,0477035876,christian.farrell22@gmail.com,HR,AB+,5.8
Tanya,Webster,1988-04-24,Male,0697283569,tanya.webster24@gmail.com,Marketing,B+,6.62
Tracy,Jones,1967-10-09,Female,1887941,tracy.jones09@gmail.com,IT,B-,7.83
Caleb,Jackson,1975-03-21,Female,2198346845,caleb.jackson21@gmail.com,Marketing,O-,5.7
,Good,2002-03-30,Male,6601599721,scott.good30@gmail.com,Marketing,B+,8.38
Ryan,Mcknight,2001-04-20,Female,0393477840,ryan.mcknight20@gmail.com,IT,AB+,8.44
Kathy,Parrish,1998-10-08,Female,0241008766,kathy.parrish08@gmail.com,QA,B+,10.29
Austin,Williams,1986-08-31,Female,9882869827,austin.williams31@gmail.com,AI,B+,5.32
Kyle,Bean,2001-05-15,Female,30778932,kyle.bean15@gmail.com,IT,A-,9.52
 ,Hayes,1996-02-28,Female,5875690498,justin.hayes28@gmail.com,AI,AB-,9.57
Joshua,Hunter,2003-06-13,Female,4905484938,joshua.hunter13@gmail.com,QA,O+,7.37
Sherry,Anderson,2002-04-03,Male,0881855644,sherry.anderson03@gmail.com,QA,B-,7.89
Tammy,Ritter,2007-06-12,Female,1847419429,tammy.ritter12@gmail.com,HR,AB+,2.34
Cynthia,Harvey,2003-04-23,Male,0679757758,cynthia.harvey23@gmail.com,Cloud,O-,9.29
Amber,Mclean,1989-03-31,Female,3203383071,amber.mclean31@gmail.com,HR,,7.32
Stephanie,Perry,1984-01-18,Male,4188645682,stephanie.perry18@gmail.com,HR,B-,4.2
Samuel,White,2001-03-08,Female,9297776011,White@gmail,QA,AB+,8.37
John,Smith,1988-12-09,Female,2181959380,john.smith09@gmail.com,AI,O-,9.95
Todd,Yang,1978-06-09,Female,3485352220,todd.yang09@gmail.com,HR,O-,6.88
Kelly,Bray,1996-08-02,Female,9999041732,kelly.bray02@gmail.com,AI,A-,6.43
Matthew,Davis,1970-12-05,Male,5190384198,matthew.davis05@gmail.com,Cloud,A-,8.99
Derrick,Gonzalez,1971-02-27,Male,2134414287,Derrickmail,Cloud,A-,9.57
Kimberly,Howard,2028-09-10,Female,7651596711,kimberly.howard14@gmail.com,Marketing,O-,6.7
Jason,Kelly,1993-12-01,Female,0819766169,Kelly@gmailcomcom,Marketing,A+,7.89
Susan,Johnson,2006-01-05,Female,7634790142,susan.johnson05@gmail.com,QA,B-,9.22
Tammy,Gibbs,1992-04-29,Male,4772487762,Gibbs@gmailcomcom,HR,A+,8.23
Jason,Mcmillan,1976-12-16,Male,7546305691,jason.mcmillan16@gmail.com,IT,A-,7.8
Kara,Kennedy,1989-11-08,Female,1938285,kara.kennedy08@gmail.com,QA,A+,9.1
Jennifer,Rivera,2008-03-24,Female,1449338100,jennifer.rivera24@gmail.com,Marketing,A-,5.33
Amanda,Snyder,1966-02-04,Female,6337129788,amanda.snyder04@gmail.com,Cloud,AB+,6.71
Erik,Hahn,1985-04-16,Female,2988959220,erik.hahn16@gmail.com,Cloud,O+,9.95
Margaret,Barber,1997-05-19,Female,0229804777,margaret.barber19@gmail.com,HR,A-,9.05
Diane,Jones,1979-05-13,Male,9255164338,diane.jones13@gmail.com,AI,,7.25
Travis,Thompson,1994-09-30,Male,1817963577,travis.thompson30@gmail.com,Marketing,A-,6.7
Nicole,West,1992-01-17,Female,2454199911,nicole.west17@gmail.com,AI,B+,14.09
Nicholas,Young,1991-01-17,Female,9455020202,nicholas.young17@gmail.com,IT,O+,0.53
Amanda,Miller,1993-09-25,Male,7314041430,amanda.miller25@gmail.com,IT,AB+,8.44
Sheri,Murphy,2028-07-28,Male,9784284850,sheri.murphy14@gmail.com,HR,B+,9.93
Thomas,Berg,1970-05-13,Female,9884420941,thomas.berg13@gmail.com,IT,A-,6.27
Antonio,Rhodes,1970-02-27,Female,1154345360,antonio.rhodes27@gmail.com,QA,B-,14.5
Daniel,Livingston,1980-08-18,Female,0869940562,daniel.livingston18@gmail.com,IT,A-,9.72
Jacqueline,Tanner,1972-01-19,Female,6679305282,jacqueline.tanner19@gmail.com,Marketing,A-,7.92
Robin,Park,1982-12-10,Female,3358787954,robin.park10@gmail.com,QA,AB+,9.31
,Knight,1997-01-18,Male,3502902369,jennifer.knight18@gmail.com,HR,O-,7.79
Steven,Clark,1979-12-26,Male,0782024884,steven.clark26@gmail.com,HR,O+,9.52
Breanna,Mercer,1967-11-28,Female,3999283418,breanna.mercer28@gmail.com,Marketing,A+,8.01
Glenn,Calderon,2003-03-16,Male,3111935433,glenn.calderon16@gmail.com,HR,B+,5.64
Donna,Jones,2006-12-11,Male,9720355282,donna.jones11@gmail.com,IT,A+,5.38
Hayley,Barnett,2007-01-11,Female,7440346520,hayley.barnett11@gmail.com,AI,A-,5.6
